tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1299,52:35.5,14:14.7,81,Chinatown T Stop,42.352409,-71.062679,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,6139,Subscriber,2000,1
893,03:39.4,18:33.3,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,342,Boylston St at Jersey St,42.34465063,-71.09732501,5368,Subscriber,1994,1
1594,00:14.1,26:48.6,354,Washington St at Egremont Rd,42.34286835,-71.14127841,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,5758,Subscriber,1989,1
965,12:00.1,28:05.7,42,Boylston St at Arlington St,42.3525878,-71.06764905,81,Chinatown T Stop,42.352409,-71.062679,5969,Customer,1969,0
616,36:27.3,46:44.1,222,Troy Boston,42.343749,-71.062256,352,Ring Rd,42.34827839,-71.08044855,2652,Customer,1970,1
434,46:18.5,53:33.4,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,195,Child St at North St,42.37150494,-71.07249312,2158,Subscriber,1993,1
239,55:27.3,59:26.8,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,2343,Customer,1998,2
1335,32:09.7,54:25.0,420,Charles St at Pinckney St,42.3587253,-71.07079532,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,5117,Subscriber,1988,1
2193,50:29.2,27:02.5,15,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,3147,Customer,1996,2
1045,14:36.8,32:02.0,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,370,Dartmouth St at Newbury St,42.35096144,-71.07782811,3732,Customer,1991,2
212,44:06.1,47:38.4,378,191 Beacon St,42.38032335,-71.10878613,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,3757,Subscriber,1991,2
